สรุป OT แยกทีม 25 เม.ย. – 26 พ.ค. 2026 (KP/LP/LL) — จากชีตสรุปในไฟล์
แผนก/ทีม,26-30 Apr 2026,1-7 May 2026,8-14 May 2026,15-21 May 2026,22-25 May 2026,รวม (ชม.)
KP — การโดยสาร,"3,442:30","6,906:00","2,679:00","2,130:30","1,810:30","16,968:30"
   EY/DV/AY,520:00,737:00,681:00,441:30,348:30,"2,728:00"
   TR/6E/QP,519:00,747:30,328:30,312:30,290:00,"2,197:30"
   SQ/CX/LY,378:30,669:00,332:00,291:00,255:00,"1,925:30"
   JQ/IT/IX/AI/N0,433:00,459:00,233:00,221:30,245:30,"1,592:00"
   PG,190:00,478:30,247:00,187:00,138:00,"1,240:30"
   EK/UO/FY/6B/BY,296:00,363:00,126:00,111:00,146:30,"1,042:30"
   WY/G9/9C/DK,281:00,491:00,112:30,15:30,8:00,908:00
   AK/QZ/8M,108:00,329:30,154:00,155:30,114:00,861:00
   CHINA,91:00,582:30,59:30,70:30,17:30,821:00
   KC/LJ/KE/OZ/NO/AF,122:00,492:00,101:30,39:00,58:30,813:00
   TK/VJ/SG/HY/OD,148:00,323:30,101:30,137:30,63:30,774:00
   Porter Crewsign,100:00,251:30,94:30,49:30,67:00,562:30
   ADMIN DOC,60:30,152:00,50:00,62:30,30:30,355:30
   QR/MH/OM/DE,94:00,200:30,15:00,12:00,16:00,337:30
   Charter,4:30,299:30,15:00,8:30,10:00,337:30
   SU/W5/B2,36:30,166:00,24:00,15:00,2:00,243:30
   SV/WK/KA,56:30,155:00,2:30,0:30,0:00,214:30
   OFFICE,4:00,9:00,1:30,0:00,0:00,14:30
LP — บริการผู้โดยสารพิเศษ,470:00,"1,518:30",617:00,542:30,362:00,"3,510:00"
   PORTER,458:30,"1,385:00",599:00,530:30,361:30,"3,334:30"
   PVT,11:30,133:30,18:00,12:00,0:30,175:30
รวมทั้งหมด,,,,,,"20,478:30"
